,Survived,Pclass,Sex,Title
0,0,3,1,2
1,1,1,0,3
2,1,3,0,1
3,1,1,0,3
4,0,3,1,2
5,0,3,1,2
6,0,1,1,2
7,0,3,1,0
8,1,3,0,3
9,1,2,0,3
10,1,3,0,1
11,1,1,0,1
12,0,3,1,2
13,0,3,1,2
14,0,3,0,1
15,1,2,0,3
16,0,3,1,0
17,1,2,1,2
18,0,3,0,3
19,1,3,0,3
20,0,2,1,2
21,1,2,1,2
22,1,3,0,1
23,1,1,1,2
24,0,3,0,1
25,1,3,0,3
26,0,3,1,2
27,0,1,1,2
28,1,3,0,1
29,0,3,1,2
30,0,1,1,4
31,1,1,0,3
32,1,3,0,1
33,0,2,1,2
34,0,1,1,2
35,0,1,1,2
36,1,3,1,2
37,0,3,1,2
38,0,3,0,1
39,1,3,0,1
40,0,3,0,3
41,0,2,0,3
42,0,3,1,2
43,1,2,0,1
44,1,3,0,1
45,0,3,1,2
46,0,3,1,2
47,1,3,0,1
48,0,3,1,2
49,0,3,0,3
50,0,3,1,0
51,0,3,1,2
52,1,1,0,3
53,1,2,0,3
54,0,1,1,2
55,1,1,1,2
56,1,2,0,1
57,0,3,1,2
58,1,2,0,1
59,0,3,1,0
60,0,3,1,2
61,1,1,0,1
62,0,1,1,2
63,0,3,1,0
64,0,1,1,2
65,1,3,1,0
66,1,2,0,3
67,0,3,1,2
68,1,3,0,1
69,0,3,1,2
70,0,2,1,2
71,0,3,0,1
72,0,2,1,2
73,0,3,1,2
74,1,3,1,2
75,0,3,1,2
76,0,3,1,2
77,0,3,1,2
78,1,2,1,0
79,1,3,0,1
80,0,3,1,2
81,1,3,1,2
82,1,3,0,1
83,0,1,1,2
84,1,2,0,1
85,1,3,0,3
86,0,3,1,2
87,0,3,1,2
88,1,1,0,1
89,0,3,1,2
90,0,3,1,2
91,0,3,1,2
92,0,1,1,2
93,0,3,1,2
94,0,3,1,2
95,0,3,1,2
96,0,1,1,2
97,1,1,1,2
98,1,2,0,3
99,0,2,1,2
100,0,3,0,1
101,0,3,1,2
102,0,1,1,2
103,0,3,1,2
104,0,3,1,2
105,0,3,1,2
106,1,3,0,1
107,1,3,1,2
108,0,3,1,2
109,1,3,0,1
110,0,1,1,2
111,0,3,0,1
112,0,3,1,2
113,0,3,0,1
114,0,3,0,1
115,0,3,1,2
116,0,3,1,2
117,0,2,1,2
118,0,1,1,2
119,0,3,0,1
120,0,2,1,2
121,0,3,1,2
122,0,2,1,2
123,1,2,0,1
124,0,1,1,2
125,1,3,1,0
126,0,3,1,2
127,1,3,1,2
128,1,3,0,1
129,0,3,1,2
130,0,3,1,2
131,0,3,1,2
132,0,3,0,3
133,1,2,0,3
134,0,2,1,2
135,0,2,1,2
136,1,1,0,1
137,0,1,1,2
138,0,3,1,2
139,0,1,1,2
140,0,3,0,3
141,1,3,0,1
142,1,3,0,3
143,0,3,1,2
144,0,2,1,2
145,0,2,1,2
146,1,3,1,2
147,0,3,0,1
148,0,2,1,2
149,0,2,1,4
150,0,2,1,4
151,1,1,0,3
152,0,3,1,2
153,0,3,1,2
154,0,3,1,2
155,0,1,1,2
156,1,3,0,1
157,0,3,1,2
158,0,3,1,2
159,0,3,1,0
160,0,3,1,2
161,1,2,0,3
162,0,3,1,2
163,0,3,1,2
164,0,3,1,0
165,1,3,1,0
166,1,1,0,3
167,0,3,0,3
168,0,1,1,2
169,0,3,1,2
170,0,1,1,2
171,0,3,1,0
172,1,3,0,1
173,0,3,1,2
174,0,1,1,2
175,0,3,1,2
176,0,3,1,0
177,0,1,0,1
178,0,2,1,2
179,0,3,1,2
180,0,3,0,1
181,0,2,1,2
182,0,3,1,0
183,1,2,1,0
184,1,3,0,1
185,0,1,1,2
186,1,3,0,3
187,1,1,1,2
188,0,3,1,2
189,0,3,1,2
190,1,2,0,3
191,0,2,1,2
192,1,3,0,1
193,1,2,1,0
194,1,1,0,3
195,1,1,0,1
196,0,3,1,2
197,0,3,1,2
198,1,3,0,1
199,0,2,0,1
200,0,3,1,2
201,0,3,1,2
202,0,3,1,2
203,0,3,1,2
204,1,3,1,2
205,0,3,0,1
206,0,3,1,2
207,1,3,1,2
208,1,3,0,1
209,1,1,1,2
210,0,3,1,2
211,1,2,0,1
212,0,3,1,2
213,0,2,1,2
214,0,3,1,2
215,1,1,0,1
216,1,3,0,1
217,0,2,1,2
218,1,1,0,1
219,0,2,1,2
220,1,3,1,2
221,0,2,1,2
222,0,3,1,2
223,0,3,1,2
224,1,1,1,2
